Viral protein,Human protein,Link,Supplementary,Reference,Useful information
Nsp4,IDE,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-94",
Nsp14,IMPDH2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-95",
M,INTS4,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-96",
Orf8,ITGB1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-97",
N,LARP1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-98",
Nsp12,LARP4B,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-99",
Nsp7,LMAN2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-100",
Orf8,LOX,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-101",
Orf10,MAP7D1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-102",
Orf9b,MARK1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-103",
Orf9b,MARK2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-104",
Orf9b,MARK3,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-105",
Nsp9,MAT2B,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-106",
Orf7a,MDN1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-107",
Orf8,MFGE8,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-108",
Nsp7,MOGS,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-109",
N,MOV10,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-110",
Nsp8,MRPS2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-111",
Nsp8,MRPS25,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-112",
Nsp8,MRPS27,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-113",
Nsp8,MRPS5,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-114",
Orf6,MTCH1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-115",
Nsp8,NARS2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-116",
Orf9c,NDUFAF1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-117",
Nsp7,NDUFAF2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-118",
Nsp8,NGDN,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-119",
Nsp13,NIN,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-120",
Orf9c,NLRX1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-121",
Nsp8,NOL10,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-122",
Nsp4,NPC2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-123",
Nsp9,NUP210,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-124",
Nsp9,NUP54,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-125",
Nsp9,NUP58,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-126",
Nsp9,NUP62,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-127",
Nsp15,NUP88,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-128",
Orf8,NUP98,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-129",
N,NUTF2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-130",
N,OS9,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-131",
Nsp13,PABPC1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-132",
Orf8,PCNT,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-133",
Nsp13,PCSK6,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-134",
Orf9c,PDE4DIP,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-135",
Orf9c,PIGO,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-136",
M,PIGS,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-137",
Nsp1,PITRM1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-138",
Orf8,PKP2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-139",
Orf8,PLAT,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-140",
Nsp12,PLD3,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-141",
Orf8,PLEKHA5,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-142",
M,PLOD2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-143",
M,PMPCA,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-144",
Orf8,PMPCB,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-145",
Nsp1,POFUT1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-146",
Nsp1,POLA1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-147",
Nsp2,POLA2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-148",
